section_num,title,level,page_start,page_end,parent_section_num
33,"Key to the Families, Based on Adults",Main,122,125,
35,Practical Key to Family-Group Taxa (Females),Main,127,128,
36,Family Stenotritidae,Family,129,131,
37,Family Colletidae,Family,132,135,
38,Subfamily Colletinae,Subfamily,136,137,37
39,Tribe Paracolletini,Tribe,138,166,38
40,Tribe Colletini,Tribe,167,170,38
41,Tribe Scraptrini,Tribe,171,172,38
42,Subfamily Diphaglossinae,Subfamily,173,173,37
43,Tribe Caupolicanini,Tribe,174,176,42
44,Tribe Diphaglossini,Tribe,177,178,42
45,Tribe Dissoglottini,Tribe,179,179,42
46,Subfamily Xeromelissinae,Subfamily,180,186,37
47,Subfamily Hylaeinae,Subfamily,187,219,37
48,Subfamily Euryglossinae,Subfamily,220,234,37
49,Family Andrenidae,Family,235,237,
50,Subfamily Alocandreninae,Subfamily,238,238,49
51,Subfamily Andreninae,Subfamily,239,269,49
52,Subfamily Panurginae,Subfamily,270,272,49
53,Tribe Protandrenini,Tribe,273,284,52
54,Tribe Panurgini,Tribe,285,289,52
55,Tribe Nolanomelissini,Tribe,290,290,52
56,Tribe Melitturgini,Tribe,291,294,52
57,Tribe Protomeliturgini,Tribe,295,295,52
58,Tribe Perditini,Tribe,296,305,52
59,Tribe Calliopsini,Tribe,306,315,52
60,Subfamily Oxaeinae,Subfamily,316,318,49
61,Family Halictidae,Family,319,321,
62,Subfamily Rophitinae,Subfamily,322,331,61
63,Subfamily Nomiinae,Subfamily,332,344,61
64,Subfamily Nomioidinae,Subfamily,345,347,61
65,Subfamily Halictinae,Subfamily,348,353,61
66,Tribe Halictini,Tribe,354,392,65
67,Tribe Augochlorini,Tribe,393,412,65
68,Family Melittidae,Family,413,415,
69,Subfamily Dasypodainae,Subfamily,416,416,68
70,Tribe Dasypodaini,Tribe,417,421,69
71,Tribe Promelittini,Tribe,422,422,69
72,Tribe Sambini,Tribe,423,425,69
73,Subfamily Meganomiinae,Subfamily,426,428,68
74,Subfamily Melittinae,Subfamily,429,433,68
75,Family Megachilidae,Family,434,435,
76,Subfamily Fideliinae,Subfamily,436,436,75
77,Tribe Pararhophitini,Tribe,437,437,76
78,Tribe Fideliini,Tribe,438,440,76
79,Subfamily Megachilinae,Subfamily,441,443,75
80,Tribe Lithurgini,Tribe,444,447,79
81,Tribe Osmiini,Tribe,448,490,79
82,Tribe Anthidiini,Tribe,491,537,79
83,Tribe Dioxyini,Tribe,538,542,79
84,Tribe Megachilini,Tribe,543,586,79
85,Family Apidae,Family,587,591,
86,Subfamily Xylocopinae,Subfamily,592,594,85
87,Tribe Manueliini,Tribe,595,595,86
88,Tribe Xylocopini,Tribe,596,610,86
89,Tribe Ceratinini,Tribe,611,618,86
90,Tribe Allodapini,Tribe,619,632,86
91,Subfamily Nomadinae,Subfamily,633,636,85
92,Tribe Hexepeolini,Tribe,637,638,91
93,Tribe Brachynomadini,Tribe,639,642,91
94,Tribe Nomadini,Tribe,643,645,91
95,Tribe Epeolini,Tribe,646,652,91
96,Tribe Ammobatoidini,Tribe,653,655,91
97,Tribe Biastini,Tribe,656,658,91
98,Tribe Townsendiellini,Tribe,659,659,91
99,Tribe Neolarrini,Tribe,660,660,91
100,Tribe Ammobatini,Tribe,661,665,91
101,Tribe Caenoprosopidini,Tribe,666,666,91
102,Subfamily Apinae,Subfamily,667,671,85
103,Tribe Isepeolini,Tribe,672,673,102
104,Tribe Osirini,Tribe,674,677,102
105,Tribe Protepeolini,Tribe,678,679,102
106,Tribe Exomalopsini,Tribe,680,684,102
107,Tribe Ancylini,Tribe,685,686,102
108,Tribe Tapinotaspidini,Tribe,687,693,102
109,Tribe Tetrapediini,Tribe,694,696,102
110,Tribe Ctenoplectrini,Tribe,697,699,102
111,Tribe Emphorini,Tribe,700,706,102
112,Tribe Eucerini,Tribe,707,741,102
113,Tribe Anthophorini,Tribe,742,752,102
114,Tribe Centridini,Tribe,753,761,102
115,Tribe Rhathymini,Tribe,762,762,102
116,Tribe Ericrocidini,Tribe,763,769,102
117,Tribe Melectini,Tribe,770,777,102
118,Tribe Euglossini,Tribe,778,784,102
119,Tribe Bombini,Tribe,785,802,102
120,Tribe Meliponini,Tribe,803,829,102
121,Tribe Apini,Tribe,830,831,102
