index,page,section,new_page,start,end
408,793,270,322,21(20). Gonostylus,combined lengths of ﬁrst
409,794,270,323,and second,(Eversmannibombus)
410,794,271,323,Key to,distal corbicular
411,795,271,324,area bare;,B. lapponicus (Fabri
412,796,271,325,cius)]; frons,lines of punc-
413,797,271,326,tures on,(Fervidobombus) (in part)
414,813,272,327,Key to,unlike largely or
415,814,272,328,wholly convex,Nogueirapis
416,814,273,328,Key to,with distinct up
417,815,273,329,per apical angle,Plebeina
418,815,274,329,Key to,Lisotrigona
419,815,275,329,Key to,Trigona
420,818,276,330,Key to,(Meliplebeia)
421,821,277,331,Key to,(Parapartamona)
422,822,278,332,Key to,(Plebeia s. str.)
423,825,279,333,Key to,(T etragona)
424,825,280,333,Key to,(Homotrigona)
